batting_team,bowling_team,venue,current_score,is_powerplay,balls_left,wickets_left,current_run_rate,Top_Order,Middle_Order,Lower_Order,Tail,last_five,Death_Overs,final_score
New Zealand,West Indies,Mount Maunganui,56,1,89,10,10.8387096774194,1,0,0,0,52,0,243
Sri Lanka,West Indies,Bangalore,95,0,17,4,5.53398058252427,0,0,0,1,30,1,122
Australia,India,Chandigarh,73,0,70,8,8.76,0,1,0,0,24,0,160
Pakistan,Australia,Dubai,62,0,35,3,4.3764705882353,0,0,0,1,18,0,96
Australia,West Indies,Mirpur,114,0,35,5,8.04705882352941,0,0,1,0,38,0,178
West Indies,Sri Lanka,Colombo,72,0,71,8,8.81632653061224,0,1,0,0,57,0,162
England,Pakistan,Dubai,26,1,91,9,5.37931034482759,1,0,0,0,26,0,148
South Africa,Australia,Colombo,63,0,61,7,6.40677966101695,0,1,0,0,33,0,146
Pakistan,England,Manchester,154,0,23,7,9.52577319587629,0,1,0,0,52,1,190
England,New Zealand,Manchester,79,0,66,7,8.77777777777778,0,1,0,0,47,0,191
Pakistan,New Zealand,Christchurch,144,0,13,5,8.07476635514019,0,0,1,0,44,1,183
New Zealand,West Indies,Auckland,69,0,62,7,7.13793103448276,0,1,0,0,28,0,189
Sri Lanka,South Africa,Delhi,75,0,64,7,8.03571428571429,0,1,0,0,31,0,120
West Indies,Pakistan,St Lucia,73,0,62,9,7.55172413793104,1,0,0,0,41,0,150
India,West Indies,Mumbai,136,0,49,9,11.4929577464789,1,0,0,0,54,0,240
Australia,West Indies,Hobart,95,0,63,8,10,0,1,0,0,62,0,179
India,Bangladesh,Mirpur,39,0,77,8,5.44186046511628,0,1,0,0,26,0,166
India,South Africa,Durban,139,0,6,6,7.31578947368421,0,0,1,0,49,1,153
India,South Africa,Colombo,82,0,47,6,6.73972602739726,0,0,1,0,36,0,152
Pakistan,Bangladesh,Karachi,127,0,38,7,9.29268292682927,0,1,0,0,46,0,203
West Indies,Pakistan,Karachi,77,0,47,8,6.32876712328767,0,1,0,0,35,0,153
Pakistan,Bangladesh,Mirpur,90,0,42,7,6.92307692307692,0,1,0,0,29,0,135
South Africa,Bangladesh,Mirpur,59,0,79,10,8.63414634146342,1,0,0,0,41,0,169
West Indies,New Zealand,Lauderhill,74,0,63,9,7.78947368421053,1,0,0,0,41,0,177
Australia,England,Sydney,104,0,67,8,11.7735849056604,0,1,0,0,71,0,221
Pakistan,Australia,Birmingham,32,1,91,9,6.62068965517241,1,0,0,0,31,0,167
England,West Indies,Kolkata,28,1,88,7,5.25,0,1,0,0,28,0,155
New Zealand,Australia,Wellington,36,0,75,7,4.8,0,1,0,0,29,0,118
Pakistan,Australia,Dubai,77,0,19,2,4.57425742574257,0,0,0,1,22,1,96
New Zealand,England,Wellington,95,0,35,7,6.70588235294118,0,1,0,0,34,0,139
South Africa,West Indies,London,70,0,72,9,8.75,1,0,0,0,44,0,183
Australia,West Indies,London,35,1,84,7,5.83333333333333,0,1,0,0,32,0,169
Australia,West Indies,Mirpur,78,0,62,6,8.06896551724138,0,0,1,0,37,0,178
Sri Lanka,Pakistan,Colombo,54,0,79,8,7.90243902439024,0,1,0,0,36,0,172
New Zealand,Sri Lanka,Lauderhill,39,0,65,5,4.25454545454546,0,0,1,0,30,0,81
Bangladesh,India,Mirpur,98,0,24,5,6.125,0,0,1,0,31,1,138
Pakistan,England,Cardiff,40,0,80,8,6,0,1,0,0,25,0,173
Bangladesh,New Zealand,Hamilton,64,0,36,3,4.57142857142857,0,0,0,1,18,0,78
New Zealand,India,Auckland,130,0,35,7,9.17647058823529,0,1,0,0,46,0,203
New Zealand,India,Auckland,186,0,11,5,10.2385321100917,0,0,1,0,64,1,203
Sri Lanka,Pakistan,Lahore,159,0,6,5,8.36842105263158,0,0,1,0,42,1,165
West Indies,India,Lauderhill,33,0,82,5,5.21052631578947,0,0,1,0,26,0,95
West Indies,India,Barbados,131,0,23,8,8.10309278350515,0,1,0,0,57,1,169
India,Australia,Melbourne,36,0,74,5,4.69565217391304,0,0,1,0,18,0,74
England,Sri Lanka,Delhi,66,0,58,8,6.38709677419355,0,1,0,0,37,0,171
New Zealand,Australia,Auckland,206,0,23,8,12.7422680412371,0,1,0,0,66,1,243
England,Sri Lanka,Delhi,95,0,34,7,6.62790697674419,0,1,0,0,31,0,171
Australia,England,Hobart,158,0,27,7,10.1935483870968,0,1,0,0,47,1,213
England,India,Birmingham,85,0,50,6,7.28571428571429,0,0,1,0,32,0,180
South Africa,West Indies,London,106,0,48,8,8.83333333333333,0,1,0,0,41,0,183
West Indies,India,Barbados,70,0,56,10,6.5625,1,0,0,0,40,0,169
India,Australia,Mirpur,37,1,89,9,7.16129032258065,1,0,0,0,32,0,159
India,Sri Lanka,Pallekele,120,0,30,8,8,0,1,0,0,44,0,155
England,India,London,115,0,22,7,7.04081632653061,0,1,0,0,38,1,153
Afghanistan,Bangladesh,Dhaka,154,0,7,4,8.17699115044248,0,0,0,1,60,1,164
New Zealand,Australia,Sydney,113,0,6,3,5.94736842105263,0,0,0,1,43,1,117
New Zealand,South Africa,Centurion,52,1,87,9,9.45454545454546,1,0,0,0,47,0,177
West Indies,India,Kolkata,69,0,26,3,4.40425531914894,0,0,0,1,18,1,109
New Zealand,Pakistan,Dubai,110,0,30,6,7.33333333333333,0,0,1,0,43,0,135
Sri Lanka,Bangladesh,Pallekele,100,0,49,7,8.45070422535211,0,1,0,0,31,0,198
West Indies,Pakistan,Dubai,49,0,47,2,4.02739726027397,0,0,0,1,18,0,115
England,Pakistan,Bristol,92,0,40,6,6.9,0,0,1,0,40,0,144
Australia,India,Melbourne,62,0,62,6,6.41379310344828,0,0,1,0,28,0,131
England,India,Bristol,191,0,6,3,10.0526315789474,0,0,0,1,51,1,198
Sri Lanka,India,Colombo,163,0,2,3,8.28813559322034,0,0,0,1,45,1,170
South Africa,Afghanistan,Barbados,122,0,17,5,7.10679611650486,0,0,1,0,38,1,139
Sri Lanka,Australia,Brisbane,75,0,55,5,6.92307692307692,0,0,1,0,39,0,117
West Indies,England,Chester-le-Street,85,0,75,9,11.3333333333333,1,0,0,0,62,0,176
South Africa,Australia,Cape Town,108,0,45,8,8.64,0,1,0,0,34,0,178
Pakistan,West Indies,Karachi,81,0,63,9,8.52631578947369,1,0,0,0,41,0,205
Pakistan,South Africa,Abu Dhabi,87,0,39,5,6.44444444444444,0,0,1,0,27,0,119
India,Sri Lanka,Pune,38,1,87,7,6.90909090909091,0,1,0,0,33,0,101
Australia,England,Adelaide,84,0,64,9,9,1,0,0,0,54,0,157
South Africa,New Zealand,Auckland,118,0,42,8,9.07692307692308,0,1,0,0,47,0,185
England,India,Birmingham,99,0,30,6,6.6,0,0,1,0,23,0,180
Pakistan,Sri Lanka,Colombo,67,0,65,8,7.30909090909091,0,1,0,0,41,0,175
New Zealand,England,Delhi,55,0,77,9,7.67441860465116,1,0,0,0,37,0,153
Australia,South Africa,Cape Town,124,0,43,8,9.66233766233766,0,1,0,0,32,0,193
India,Sri Lanka,Pune,144,0,23,6,8.90721649484536,0,0,1,0,39,1,201
West Indies,Pakistan,St Lucia,37,1,90,9,7.4,1,0,0,0,36,0,150
New Zealand,Pakistan,London,88,0,26,3,5.61702127659575,0,0,0,1,24,1,99
England,South Africa,Nottingham,66,0,52,7,5.82352941176471,0,1,0,0,39,0,111
England,India,Pune,113,0,30,6,7.53333333333333,0,0,1,0,24,0,157
Sri Lanka,Bangladesh,Johannesburg,140,0,4,5,7.24137931034483,0,0,1,0,46,1,147
Australia,Pakistan,Melbourne,107,0,21,2,6.48484848484848,0,0,0,1,28,1,127
New Zealand,England,Pallekele,68,0,48,6,5.66666666666667,0,0,1,0,25,0,148
West Indies,Bangladesh,Mirpur,70,0,66,8,7.77777777777778,0,1,0,0,40,0,197
Sri Lanka,Pakistan,Abu Dhabi,100,0,49,7,8.45070422535211,0,1,0,0,31,0,141
West Indies,New Zealand,Lauderhill,176,0,8,8,9.42857142857143,0,1,0,0,56,1,209
Afghanistan,West Indies,Nagpur,51,0,61,7,5.1864406779661,0,1,0,0,20,0,123
India,West Indies,Trinidad,56,0,67,6,6.33962264150943,0,0,1,0,37,0,159
England,Pakistan,Dubai,80,0,51,7,6.95652173913044,0,1,0,0,33,0,172
New Zealand,Sri Lanka,Pallekele,74,0,36,3,5.28571428571429,0,0,0,1,46,0,74
West Indies,New Zealand,Wellington,63,0,66,8,7,0,1,0,0,41,0,159
New Zealand,Australia,Auckland,93,0,59,5,9.14754098360656,0,0,1,0,34,0,150
Pakistan,England,Dubai,55,0,80,9,8.25,1,0,0,0,42,0,144
South Africa,West Indies,London,159,0,20,6,9.54,0,0,1,0,54,1,183
Australia,England,Melbourne,123,0,13,5,6.89719626168224,0,0,1,0,36,1,147
Bangladesh,West Indies,Dhaka,47,1,89,9,9.09677419354839,1,0,0,0,46,0,211
Bangladesh,India,Mirpur,82,0,43,6,6.38961038961039,0,0,1,0,40,0,138
Afghanistan,India,St Lucia,107,0,7,3,5.68141592920354,0,0,0,1,28,1,115
New Zealand,West Indies,Auckland,142,0,20,5,8.52,0,0,1,0,42,1,189
New Zealand,India,Hamilton,135,0,41,9,10.253164556962,1,0,0,0,51,0,212
West Indies,New Zealand,Lauderhill,57,0,69,9,6.70588235294118,1,0,0,0,30,0,209
South Africa,West Indies,London,63,0,80,9,9.45,1,0,0,0,57,0,183
Sri Lanka,Pakistan,London,134,0,15,5,7.65714285714286,0,0,1,0,33,1,150
Pakistan,England,Barbados,99,0,35,6,6.98823529411765,0,0,1,0,28,0,147
Afghanistan,West Indies,St Kitts,41,0,70,7,4.92,0,1,0,0,20,0,110
New Zealand,India,Hamilton,192,0,12,7,10.6666666666667,0,1,0,0,57,1,212
Pakistan,India,Colombo,122,0,5,2,6.36521739130435,0,0,0,1,24,1,128
West Indies,New Zealand,Auckland,75,0,41,6,5.69620253164557,0,0,1,0,34,0,126
Pakistan,Bangladesh,Mirpur,48,1,86,9,8.47058823529412,1,0,0,0,47,0,190
India,Sri Lanka,Pune,165,0,13,4,9.25233644859813,0,0,0,1,43,1,201
South Africa,West Indies,Johannesburg,129,0,53,7,11.5522388059701,0,1,0,0,59,0,231
Pakistan,Australia,Perth,26,1,88,7,4.875,0,1,0,0,24,0,106
Bangladesh,Australia,Bangalore,67,0,55,7,6.18461538461539,0,1,0,0,35,0,156
Sri Lanka,India,Chandigarh,149,0,39,6,11.037037037037,0,0,1,0,53,0,206
New Zealand,South Africa,Durban,63,0,74,10,8.21739130434783,1,0,0,0,45,0,153
South Africa,Australia,Melbourne,46,0,69,8,5.41176470588235,0,1,0,0,29,0,101
Pakistan,Bangladesh,St Lucia,55,0,78,10,7.85714285714286,1,0,0,0,36,0,172
Australia,England,Adelaide,121,0,25,7,7.64210526315789,0,1,0,0,29,1,157
Sri Lanka,Pakistan,Dubai,105,0,20,6,6.3,0,0,1,0,35,1,145
England,Pakistan,London,128,0,42,8,9.84615384615385,0,1,0,0,44,0,185
South Africa,Sri Lanka,Cape Town,111,0,35,8,7.83529411764706,0,1,0,0,37,0,169
South Africa,India,Nottingham,70,0,57,8,6.66666666666667,0,1,0,0,25,0,130
Australia,England,Southampton,142,0,3,4,7.28205128205128,0,0,0,1,47,1,157
Bangladesh,Sri Lanka,Colombo,59,0,81,7,9.07692307692308,0,1,0,0,42,0,155
Australia,England,Melbourne,131,0,8,4,7.01785714285714,0,0,0,1,39,1,147
Australia,India,Sydney,73,0,66,9,8.11111111111111,1,0,0,0,41,0,186
India,New Zealand,Christchurch,110,0,33,3,7.58620689655172,0,0,0,1,28,0,162
India,Australia,Melbourne,30,1,84,6,5,0,0,1,0,25,0,74
India,Sri Lanka,Pune,105,0,53,9,9.40298507462687,1,0,0,0,39,0,201
New Zealand,Bangladesh,Mirpur,169,0,18,8,9.94117647058824,0,1,0,0,50,1,204
Bangladesh,South Africa,Cape Town,134,0,8,1,7.17857142857143,0,0,0,1,27,1,144
Pakistan,Australia,Birmingham,66,0,70,8,7.92,0,1,0,0,39,0,162
South Africa,New Zealand,Johannesburg,56,1,86,10,9.88235294117647,1,0,0,0,44,0,133
Afghanistan,West Indies,Lucknow,126,0,18,5,7.41176470588235,0,0,1,0,49,1,156
Sri Lanka,Pakistan,Lahore,84,0,60,9,8.4,1,0,0,0,34,0,165
India,Bangladesh,Nottingham,64,0,70,9,7.68,1,0,0,0,34,0,180
Pakistan,South Africa,Abu Dhabi,91,0,32,3,6.20454545454545,0,0,0,1,15,0,119
Pakistan,New Zealand,Auckland,83,0,36,4,5.92857142857143,0,0,0,1,41,0,153
India,Sri Lanka,Mirpur,130,0,0,6,6.44628099173554,0,0,1,0,29,1,130
India,West Indies,Trinidad,87,0,30,6,5.8,0,0,1,0,23,0,159
Sri Lanka,England,Southampton,82,0,66,8,9.11111111111111,0,1,0,0,49,0,163
Bangladesh,New Zealand,Napier,38,0,76,6,5.18181818181818,0,0,1,0,27,0,141
New Zealand,Pakistan,Hamilton,133,0,27,7,8.58064516129032,0,1,0,0,48,1,185
Australia,England,Manchester,140,0,3,6,7.17948717948718,0,0,1,0,48,1,145
Pakistan,South Africa,Centurion,91,0,63,9,9.57894736842105,1,0,0,0,56,0,195
Bangladesh,India,Rajkot,110,0,32,6,7.5,0,0,1,0,32,0,153
India,South Africa,Durban,64,0,51,6,5.56521739130435,0,0,1,0,27,0,153
West Indies,New Zealand,Auckland,73,0,76,5,9.95454545454546,0,0,1,0,30,0,180
Sri Lanka,Bangladesh,Chittagong,103,0,47,6,8.46575342465753,0,0,1,0,35,0,168
West Indies,Australia,St Lucia,144,0,7,4,7.64601769911505,0,0,0,1,55,1,150
New Zealand,Australia,Wellington,56,0,51,6,4.8695652173913,0,0,1,0,23,0,118
India,New Zealand,Delhi,99,0,49,10,8.36619718309859,1,0,0,0,45,0,202
Pakistan,South Africa,Abu Dhabi,76,0,61,6,7.72881355932203,0,0,1,0,38,0,119
Australia,West Indies,Mirpur,128,0,29,5,8.43956043956044,0,0,1,0,39,0,178
West Indies,England,London,42,0,67,7,4.75471698113208,0,1,0,0,22,0,113
South Africa,New Zealand,Chittagong,99,0,32,6,6.75,0,0,1,0,39,0,170
Bangladesh,Sri Lanka,Colombo,81,0,69,8,9.52941176470588,0,1,0,0,43,0,176
India,West Indies,Lauderhill,34,1,94,10,7.84615384615385,1,0,0,0,34,0,167
India,West Indies,Trinidad,72,0,46,6,5.83783783783784,0,0,1,0,23,0,159
Pakistan,Sri Lanka,Lahore,147,0,12,8,8.16666666666667,0,1,0,0,47,1,180
Australia,Pakistan,St Lucia,48,1,90,10,9.6,1,0,0,0,48,0,191
India,Sri Lanka,St Lucia,147,0,12,7,8.16666666666667,0,1,0,0,30,1,163
New Zealand,England,Christchurch,98,0,34,6,6.83720930232558,0,0,1,0,34,0,153
South Africa,West Indies,London,59,0,81,9,9.07692307692308,1,0,0,0,57,0,183
New Zealand,England,St Lucia,147,0,1,4,7.41176470588235,0,0,0,1,35,1,149
New Zealand,England,Durban,78,0,53,6,6.98507462686567,0,0,1,0,47,0,164
South Africa,West Indies,London,48,1,88,10,9,1,0,0,0,48,0,183
West Indies,Bangladesh,Johannesburg,106,0,24,7,6.625,0,1,0,0,25,1,164
South Africa,New Zealand,London,77,0,36,6,5.5,0,0,1,0,24,0,128
Sri Lanka,India,Colombo,111,0,52,7,9.79411764705882,0,1,0,0,55,0,152
South Africa,Australia,Melbourne,44,0,77,8,6.13953488372093,0,1,0,0,30,0,101
England,Australia,Chester-le-Street,106,0,55,10,9.78461538461539,1,0,0,0,47,0,195
West Indies,England,Pallekele,103,0,53,9,9.22388059701493,1,0,0,0,56,0,179
India,Pakistan,Bangalore,121,0,18,5,7.11764705882353,0,0,1,0,32,1,133
India,West Indies,London,32,1,88,7,6,0,1,0,0,27,0,153
West Indies,England,London,169,0,0,3,8.45,0,0,0,1,31,1,169
Australia,Pakistan,Johannesburg,115,0,35,6,8.11764705882353,0,0,1,0,34,0,164
South Africa,England,Chittagong,69,0,71,10,8.44897959183673,1,0,0,0,40,0,196
Pakistan,England,Cardiff,80,0,61,8,8.13559322033898,0,1,0,0,49,0,173
Pakistan,Australia,Abu Dhabi,135,0,8,2,7.23214285714286,0,0,0,1,30,1,155
England,South Africa,Cardiff,131,0,38,7,9.58536585365854,0,1,0,0,58,0,181
South Africa,Afghanistan,Mumbai,92,0,60,8,9.2,0,1,0,0,43,0,209
West Indies,Australia,Colombo,89,0,51,8,7.73913043478261,0,1,0,0,37,0,205
South Africa,Sri Lanka,Centurion,144,0,16,7,8.30769230769231,0,1,0,0,35,1,180
Pakistan,Australia,Abu Dhabi,131,0,16,4,7.55769230769231,0,0,0,1,37,1,155
Sri Lanka,India,Chandigarh,164,0,27,5,10.5806451612903,0,0,1,0,43,1,206
Australia,England,Southampton,226,0,17,8,13.1650485436893,0,1,0,0,84,1,248
West Indies,Australia,St Lucia,41,0,83,8,6.64864864864865,0,1,0,0,28,0,105
West Indies,England,London,104,0,29,7,6.85714285714286,0,1,0,0,37,1,125
Australia,South Africa,Brisbane,191,0,3,7,9.7948717948718,0,1,0,0,52,1,209
Sri Lanka,Pakistan,London,87,0,59,9,8.55737704918033,1,0,0,0,27,0,150
New Zealand,Sri Lanka,Pallekele,93,0,33,6,6.41379310344828,0,0,1,0,37,0,142
India,Bangladesh,Colombo,66,0,69,10,7.76470588235294,1,0,0,0,46,0,176
England,West Indies,Trinidad,92,0,47,6,7.56164383561644,0,0,1,0,37,0,121
New Zealand,Pakistan,Dubai,88,0,38,6,6.4390243902439,0,0,1,0,23,0,153
New Zealand,Pakistan,Chandigarh,133,0,25,6,8.4,0,0,1,0,42,1,180
India,New Zealand,Hamilton,103,0,45,7,8.24,0,1,0,0,24,0,179
Pakistan,South Africa,Centurion,82,0,62,8,8.48275862068966,0,1,0,0,36,0,168
Sri Lanka,Australia,Melbourne,81,0,42,7,6.23076923076923,0,1,0,0,33,0,161
England,Pakistan,Dubai,64,0,67,7,7.24528301886793,0,1,0,0,33,0,150
India,New Zealand,Delhi,158,0,22,9,9.6734693877551,1,0,0,0,62,1,202
Pakistan,West Indies,Karachi,194,0,8,7,10.3928571428571,0,1,0,0,64,1,205
South Africa,Australia,Melbourne,101,0,0,3,5.05,0,0,0,1,30,1,101
New Zealand,Australia,Auckland,125,0,21,2,7.57575757575758,0,0,0,1,28,1,150
Sri Lanka,South Africa,Chittagong,148,0,12,5,8.22222222222222,0,0,1,0,43,1,165
Sri Lanka,Australia,Brisbane,23,1,92,9,4.92857142857143,1,0,0,0,23,0,117
West Indies,Australia,Colombo,52,0,83,9,8.43243243243243,1,0,0,0,48,0,205
West Indies,New Zealand,Lauderhill,53,0,74,9,6.91304347826087,1,0,0,0,31,0,177
South Africa,Bangladesh,Mirpur,45,0,78,8,6.42857142857143,0,1,0,0,38,0,148
England,South Africa,Durban,180,0,11,4,9.90825688073394,0,0,0,1,71,1,204
Australia,India,Melbourne,104,0,28,5,6.78260869565217,0,0,1,0,32,1,131
Bangladesh,West Indies,St Kitts,51,0,73,6,6.51063829787234,0,0,1,0,39,0,118
India,Bangladesh,Nottingham,110,0,36,9,7.85714285714286,1,0,0,0,40,0,180
Sri Lanka,Australia,Colombo,125,0,2,2,6.35593220338983,0,0,0,1,32,1,128
Sri Lanka,England,Southampton,122,0,26,4,7.78723404255319,0,0,0,1,40,1,140
West Indies,Afghanistan,Lucknow,154,0,2,5,7.83050847457627,0,0,1,0,35,1,164
Sri Lanka,India,Colombo,142,0,20,7,8.52,0,1,0,0,52,1,171
West Indies,Australia,Colombo,158,0,14,7,8.94339622641509,0,1,0,0,59,1,205
West Indies,Bangladesh,Mirpur,123,0,29,6,8.10989010989011,0,0,1,0,41,1,197
England,Australia,Hobart,79,0,72,8,9.875,0,1,0,0,46,0,155
South Africa,Australia,Sydney,93,0,49,8,7.85915492957747,0,1,0,0,35,0,145
Bangladesh,Australia,Cape Town,36,0,81,10,5.53846153846154,1,0,0,0,31,0,123
New Zealand,Sri Lanka,Auckland,30,1,89,6,5.80645161290323,0,0,1,0,28,0,179
West Indies,India,Lauderhill,50,1,88,8,9.375,0,1,0,0,50,0,143
Australia,India,Chandigarh,106,0,34,6,7.3953488372093,0,0,1,0,28,0,160
Sri Lanka,Pakistan,Abu Dhabi,66,0,54,6,6,0,0,1,0,26,0,102
England,West Indies,Barbados,127,0,16,6,7.32692307692308,0,0,1,0,38,1,152
Australia,India,Sydney,79,0,60,8,7.9,0,1,0,0,31,0,171
New Zealand,Pakistan,Dubai,50,1,86,10,8.82352941176471,1,0,0,0,37,0,153
West Indies,Bangladesh,Mirpur,99,0,46,8,8.02702702702703,0,1,0,0,55,0,171
India,England,Durban,37,1,86,10,6.52941176470588,1,0,0,0,28,0,218
Australia,Sri Lanka,Adelaide,67,0,75,10,8.93333333333333,1,0,0,0,45,0,233
West Indies,England,Pallekele,118,0,39,9,8.74074074074074,1,0,0,0,34,0,179
West Indies,Australia,St Lucia,88,0,38,6,6.4390243902439,0,0,1,0,33,0,150
Sri Lanka,Australia,Brisbane,108,0,14,1,6.11320754716981,0,0,0,1,29,1,117
Australia,India,Chandigarh,141,0,10,5,7.69090909090909,0,0,1,0,38,1,160
New Zealand,Bangladesh,Mount Maunganui,124,0,31,7,8.35955056179775,0,1,0,0,70,0,194
New Zealand,Bangladesh,Mount Maunganui,129,0,26,7,8.23404255319149,0,1,0,0,67,1,194
Pakistan,England,Dubai,64,0,73,9,8.17021276595745,1,0,0,0,32,0,144
England,South Africa,Chester-le-Street,81,0,35,4,5.71764705882353,0,0,0,1,21,0,118
England,Pakistan,Abu Dhabi,120,0,4,4,6.20689655172414,0,0,0,1,36,1,129
South Africa,West Indies,Johannesburg,145,0,41,7,11.0126582278481,0,1,0,0,51,0,231
India,Pakistan,Bangalore,58,0,71,10,7.10204081632653,1,0,0,0,40,0,133
England,South Africa,Chester-le-Street,87,0,21,3,5.27272727272727,0,0,0,1,15,1,118
Bangladesh,Pakistan,Cape Town,137,0,8,1,7.33928571428571,0,0,0,1,25,1,140
South Africa,New Zealand,Barbados,109,0,29,7,7.18681318681319,0,1,0,0,43,1,170
Pakistan,England,Cardiff,36,1,85,8,6.17142857142857,0,1,0,0,30,0,173
Australia,Sri Lanka,Perth,64,0,43,5,4.98701298701299,0,0,1,0,30,0,133
South Africa,Australia,Johannesburg,39,1,92,10,8.35714285714286,1,0,0,0,39,0,201
England,West Indies,Kolkata,97,0,44,6,7.65789473684211,0,0,1,0,52,0,155
New Zealand,India,Hamilton,134,0,43,9,10.4415584415584,1,0,0,0,52,0,212
Pakistan,West Indies,Dubai,42,0,80,9,6.3,1,0,0,0,39,0,160
New Zealand,Pakistan,Cape Town,47,0,77,10,6.55813953488372,1,0,0,0,40,0,143
England,New Zealand,Hamilton,57,0,77,8,7.95348837209302,0,1,0,0,35,0,194
Australia,West Indies,Barbados,72,0,70,7,8.64,0,1,0,0,36,0,97
South Africa,India,Mirpur,52,0,73,8,6.63829787234043,0,1,0,0,35,0,172
West Indies,Sri Lanka,Colombo,88,0,25,5,5.55789473684211,0,0,1,0,50,1,137
Australia,West Indies,London,109,0,33,6,7.51724137931035,0,0,1,0,49,0,169
Pakistan,Australia,Birmingham,136,0,16,4,7.84615384615385,0,0,0,1,44,1,162
South Africa,West Indies,Nagpur,42,0,81,7,6.46153846153846,0,1,0,0,30,0,122
Australia,India,Sydney,78,0,63,7,8.21052631578947,0,1,0,0,33,0,197
India,West Indies,Trinidad,153,0,2,4,7.77966101694915,0,0,0,1,65,1,159
England,Australia,Southampton,109,0,42,6,8.38461538461539,0,0,1,0,41,0,179
South Africa,New Zealand,Auckland,156,0,19,6,9.26732673267327,0,0,1,0,50,1,185
Pakistan,Australia,Birmingham,76,0,57,6,7.23809523809524,0,0,1,0,36,0,167
Sri Lanka,Pakistan,Abu Dhabi,66,0,52,5,5.82352941176471,0,0,1,0,24,0,102
New Zealand,Sri Lanka,Colombo,111,0,27,7,7.16129032258065,0,1,0,0,40,1,141
India,England,Bangalore,170,0,14,7,9.62264150943396,0,1,0,0,61,1,202
West Indies,Pakistan,Mirpur,57,0,67,8,6.45283018867925,0,1,0,0,35,0,166
Pakistan,South Africa,Dubai,52,0,46,5,4.21621621621622,0,0,1,0,23,0,98
Australia,India,Sydney,68,0,68,9,7.84615384615385,1,0,0,0,42,0,164
New Zealand,South Africa,Durban,60,0,77,10,8.37209302325581,1,0,0,0,53,0,153
South Africa,India,Nottingham,53,0,78,9,7.57142857142857,1,0,0,0,36,0,130
West Indies,Pakistan,St Lucia,118,0,27,7,7.61290322580645,0,1,0,0,35,1,150
India,England,Mumbai,166,0,10,5,9.05454545454546,0,0,1,0,63,1,177
Australia,England,Southampton,79,0,48,6,6.58333333333333,0,0,1,0,38,0,157
Pakistan,South Africa,Nottingham,130,0,21,6,7.87878787878788,0,0,1,0,39,1,149
Pakistan,Australia,Mirpur,137,0,33,7,9.44827586206897,0,1,0,0,57,0,191
West Indies,Australia,Colombo,26,1,92,9,5.57142857142857,1,0,0,0,26,0,205
England,South Africa,Chester-le-Street,74,0,48,6,6.16666666666667,0,0,1,0,27,0,118
Australia,India,Sydney,145,0,7,4,7.69911504424779,0,0,0,1,45,1,164
New Zealand,Sri Lanka,Pallekele,35,1,88,8,6.5625,0,1,0,0,35,0,142
Sri Lanka,Australia,Pallekele,93,0,57,7,8.85714285714286,0,1,0,0,40,0,157
Pakistan,England,Manchester,88,0,59,9,8.65573770491803,1,0,0,0,46,0,195
India,West Indies,London,47,0,73,7,6,0,1,0,0,22,0,153
New Zealand,India,Rajkot,142,0,32,8,9.68181818181818,0,1,0,0,58,0,196
West Indies,New Zealand,Auckland,81,0,73,5,10.3404255319149,0,0,1,0,30,0,180
Pakistan,South Africa,Dubai,30,0,72,6,3.75,0,0,1,0,21,0,98
Australia,South Africa,Durban,71,0,79,8,10.390243902439,0,1,0,0,58,0,157
West Indies,Afghanistan,Lucknow,131,0,22,6,8.02040816326531,0,0,1,0,31,1,164
New Zealand,Pakistan,Wellington,78,0,64,8,8.35714285714286,0,1,0,0,27,0,196
England,Pakistan,Dubai,156,0,6,2,8.21052631578947,0,0,0,1,44,1,172
England,Sri Lanka,Bristol,130,0,9,4,7.02702702702703,0,0,0,1,28,1,136
Sri Lanka,West Indies,London,73,0,58,10,7.06451612903226,1,0,0,0,32,0,158
India,West Indies,Lucknow,83,0,60,10,8.3,1,0,0,0,39,0,195
Sri Lanka,Pakistan,Abu Dhabi,52,0,69,9,6.11764705882353,1,0,0,0,31,0,124
New Zealand,South Africa,Hamilton,79,0,61,9,8.03389830508475,1,0,0,0,35,0,173
West Indies,Bangladesh,Mirpur,44,0,76,10,6,1,0,0,0,26,0,171
India,Bangladesh,Nottingham,140,0,19,8,8.31683168316832,0,1,0,0,47,1,180
South Africa,Afghanistan,Barbados,73,0,59,8,7.18032786885246,0,1,0,0,24,0,139
Australia,Sri Lanka,Sydney,67,0,50,7,5.74285714285714,0,1,0,0,35,0,137
Pakistan,New Zealand,Auckland,66,0,68,5,7.61538461538462,0,0,1,0,30,0,143
Australia,South Africa,Adelaide,67,0,58,6,6.48387096774194,0,0,1,0,25,0,144
South Africa,Sri Lanka,Johannesburg,43,0,79,9,6.29268292682927,1,0,0,0,34,0,198
India,New Zealand,Christchurch,101,0,39,3,7.48148148148148,0,0,0,1,37,0,162
West Indies,England,London,69,0,28,6,4.5,0,0,1,0,25,1,113
South Africa,West Indies,Cape Town,95,0,45,7,7.6,0,1,0,0,47,0,165
South Africa,England,Mumbai,82,1,85,10,14.0571428571429,1,0,0,0,81,0,229
Pakistan,Bangladesh,Mirpur,124,0,34,7,8.65116279069767,0,1,0,0,53,0,190
South Africa,Afghanistan,Barbados,88,0,40,6,6.6,0,0,1,0,26,0,139
